var,date_start,date_end,psi,taub
bank_budget__21_orgcnt_3m,2019-03-01,2019-04-01,inf,
bank_budget__21_orgcnt_1m,2019-03-01,2019-04-01,inf,
bank_budget__21_cnt_6m,2019-03-01,2019-04-01,0.0,
bank_budget__21_cnt_3m,2019-03-01,2019-04-01,0.0,
bank_budget__21_cnt_1m,2019-03-01,2019-04-01,0.0,
bank_budget__21_amount_sum_6m,2019-03-01,2019-04-01,inf,
bank_budget__21_amount_sum_3m,2019-03-01,2019-04-01,inf,
bank_budget__21_amount_sum_1m,2019-03-01,2019-04-01,inf,
bank_budget__21_amount_max_6m,2019-03-01,2019-04-01,inf,
bank_budget__21_amount_max_3m,2019-03-01,2019-04-01,inf,
bank_budget__21_amount_max_1m,2019-03-01,2019-04-01,inf,
bank_budget__21_amount_cnt_6m,2019-03-01,2019-04-01,0.0,
bank_budget__21_amount_cnt_3m,2019-03-01,2019-04-01,0.0,
bank_budget__21_amount_cnt_1m,2019-03-01,2019-04-01,0.0,
bank_budget__21_amount_big_6m,2019-03-01,2019-04-01,0.0,
bank_budget__21_amount_big_3m,2019-03-01,2019-04-01,0.0,
bank_budget__21_amount_big_1m,2019-03-01,2019-04-01,0.0,
bank_budget__1_cnt_6m,2019-03-01,2019-04-01,0.0,
bank_budget__1_cnt_3m,2019-03-01,2019-04-01,0.0,
bank_budget__1_cnt_1m,2019-03-01,2019-04-01,0.0,
airplane__7_cnt_6m,2019-03-01,2019-04-01,inf,
airplane__7_cnt_1m,2019-03-01,2019-04-01,inf,
airplane__7_amount_sum_6m,2019-03-01,2019-04-01,0.0,
airplane__7_amount_sum_1m,2019-03-01,2019-04-01,0.0,
airplane__7_amount_cnt_6m,2019-03-01,2019-04-01,inf,
airplane__7_amount_cnt_1m,2019-03-01,2019-04-01,inf,
airplane__6_cnt_6m,2019-03-01,2019-04-01,inf,
airplane__6_cnt_1m,2019-03-01,2019-04-01,inf,
airplane__6_amount_sum_6m,2019-03-01,2019-04-01,inf,
airplane__6_amount_sum_1m,2019-03-01,2019-04-01,0.0,
airplane__6_amount_cnt_6m,2019-03-01,2019-04-01,inf,
airplane__6_amount_cnt_1m,2019-03-01,2019-04-01,inf,
