num,unique_num,loan_properties,table_name,dt
2245636,1810000,2,gdl_jrs_msg_parse,2019-05-14
31551811,20397812,0,gdl_jrs_msg_parse,2019-05-14
357525,339595,1,gdl_jrs_msg_parse,2019-05-15
3745529,2568301,3,gdl_jrs_msg_parse,2019-05-15
12985286,10314208,4,gdl_jrs_msg_parse,2019-05-15
3111916,2451318,2,gdl_jrs_msg_parse,2019-05-15
31257056,19278732,0,gdl_jrs_msg_parse,2019-05-15
271579,258576,1,gdl_jrs_msg_parse,2019-05-16
3088080,2096101,3,gdl_jrs_msg_parse,2019-05-16
11971458,9790082,4,gdl_jrs_msg_parse,2019-05-16
2466712,1916503,2,gdl_jrs_msg_parse,2019-05-16
34710567,22692466,0,gdl_jrs_msg_parse,2019-05-16
144643,134692,1,gdl_jrs_msg_parse,2019-05-17
2960916,2029068,3,gdl_jrs_msg_parse,2019-05-17
11360887,9407095,4,gdl_jrs_msg_parse,2019-05-17
2269660,1790833,2,gdl_jrs_msg_parse,2019-05-17
33125446,22092901,0,gdl_jrs_msg_parse,2019-05-17
209309,199580,1,gdl_jrs_msg_parse,2019-05-18
2749557,1957775,3,gdl_jrs_msg_parse,2019-05-18
7231230,5238959,4,gdl_jrs_msg_parse,2019-05-18
1858932,1511904,2,gdl_jrs_msg_parse,2019-05-18
25963939,15813295,0,gdl_jrs_msg_parse,2019-05-18
71768,66080,1,gdl_jrs_msg_parse,2019-05-19
2367764,1588366,3,gdl_jrs_msg_parse,2019-05-19
7246674,5538100,4,gdl_jrs_msg_parse,2019-05-19
1752741,1391986,2,gdl_jrs_msg_parse,2019-05-19
24243261,14731558,0,gdl_jrs_msg_parse,2019-05-19
570201,555937,1,gdl_jrs_msg_parse,2019-05-20
3319507,2367673,3,gdl_jrs_msg_parse,2019-05-20
12173446,9832382,4,gdl_jrs_msg_parse,2019-05-20
2698114,2045187,2,gdl_jrs_msg_parse,2019-05-20
48143126,36680253,0,gdl_jrs_msg_parse,2019-05-20
440265,429059,1,gdl_jrs_msg_parse,2019-05-21
2920568,1973524,3,gdl_jrs_msg_parse,2019-05-21
10651326,7683197,4,gdl_jrs_msg_parse,2019-05-21
5158435,3296630,2,gdl_jrs_msg_parse,2019-05-21
33141543,20327770,0,gdl_jrs_msg_parse,2019-05-21
493075,479120,1,gdl_jrs_msg_parse,2019-05-22
3332151,2414810,3,gdl_jrs_msg_parse,2019-05-22
9031155,6992245,4,gdl_jrs_msg_parse,2019-05-22
2801935,2139351,2,gdl_jrs_msg_parse,2019-05-22
30343065,19230955,0,gdl_jrs_msg_parse,2019-05-22
472770,457974,1,gdl_jrs_msg_parse,2019-05-23
2500254,1588178,3,gdl_jrs_msg_parse,2019-05-23
7987477,5950442,4,gdl_jrs_msg_parse,2019-05-23
2015053,1569544,2,gdl_jrs_msg_parse,2019-05-23
28373851,18222608,0,gdl_jrs_msg_parse,2019-05-23
375114,358600,1,gdl_jrs_msg_parse,2019-05-24
